timestamp,cpu_util,cpu_freq_mhz,num_processes,session
2026-02-01 10:24:13.818840,40.8,2400.0,244,session_1
2026-02-01 10:24:14.020657,54.0,2400.0,244,session_1
2026-02-01 10:24:14.221676,45.1,2400.0,244,session_1
2026-02-01 10:24:14.422157,28.1,2400.0,244,session_1
2026-02-01 10:24:14.623405,15.6,2400.0,244,session_1
2026-02-01 10:24:14.824488,1.6,2400.0,244,session_1
2026-02-01 10:24:15.025476,13.9,2400.0,244,session_1
2026-02-01 10:24:15.226377,12.0,2400.0,244,session_1
2026-02-01 10:24:15.427911,2.5,2400.0,244,session_1
2026-02-01 10:24:15.628762,6.8,2400.0,244,session_1
2026-02-01 10:24:15.830271,1.6,2400.0,244,session_1
2026-02-01 10:24:16.031898,11.5,2400.0,244,session_1
2026-02-01 10:24:16.232831,9.9,2400.0,244,session_1
2026-02-01 10:24:16.434793,51.5,2400.0,245,session_1
2026-02-01 10:24:16.635781,54.1,2400.0,245,session_1
2026-02-01 10:24:16.837482,47.7,2400.0,244,session_1
2026-02-01 10:24:17.038713,41.2,2400.0,244,session_1
2026-02-01 10:24:17.239964,23.5,2400.0,244,session_1
2026-02-01 10:24:17.440946,3.3,2400.0,244,session_1
2026-02-01 10:24:17.642325,34.0,2400.0,244,session_1
2026-02-01 10:24:17.843566,17.8,2400.0,244,session_1
2026-02-01 10:24:18.044914,1.0,1520.0,244,session_1
2026-02-01 10:24:18.246308,7.3,2400.0,244,session_1
2026-02-01 10:24:18.447267,3.9,2400.0,244,session_1
2026-02-01 10:24:18.649344,36.8,2400.0,244,session_1
2026-02-01 10:24:18.850508,2.9,2400.0,244,session_1
2026-02-01 10:24:19.052253,2.9,1520.0,244,session_1
2026-02-01 10:24:19.253219,1.3,2400.0,244,session_1
2026-02-01 10:24:19.455021,5.7,2400.0,244,session_1
2026-02-01 10:24:19.655851,1.1,1520.0,244,session_1
2026-02-01 10:24:19.857305,3.3,1520.0,244,session_1
2026-02-01 10:24:20.058662,2.7,2400.0,244,session_1
2026-02-01 10:24:20.260093,0.8,2400.0,244,session_1
2026-02-01 10:24:20.461505,3.2,2400.0,244,session_1
2026-02-01 10:24:20.662986,7.4,1520.0,244,session_1
2026-02-01 10:24:20.863818,0.8,1520.0,244,session_1
2026-02-01 10:24:21.065528,6.5,2400.0,244,session_1
