timestamp,cpu_usage,cpu_freq_mhz
2026-02-04 20:38:50.241619,5.3,951.9126818181817
2026-02-04 20:39:01.251102,4.0,847.6667272727274
2026-02-04 20:39:12.255372,3.3,764.1595909090909
2026-02-04 20:39:23.259957,5.5,1172.4777272727274
2026-02-04 20:39:34.264155,1.4,733.2818636363636
2026-02-04 20:39:45.269302,2.1,928.277409090909
2026-02-04 20:39:56.273337,6.2,969.2025000000001
2026-02-04 20:40:07.277701,6.0,940.9249545454545
2026-02-04 20:40:18.282268,2.7,1226.3540909090907
2026-02-04 20:40:29.286548,0.9,534.2955454545455
2026-02-04 20:40:40.292093,1.0,553.2942272727273
2026-02-04 20:40:51.297224,0.9,516.5987272727272
2026-02-04 20:41:02.302501,0.2,477.0867272727273
2026-02-04 20:41:13.307859,0.3,484.79836363636366
2026-02-04 20:41:24.313539,1.7,596.4465454545455
2026-02-04 20:41:35.318505,0.4,729.6188181818181
2026-02-04 20:41:46.322593,2.6,484.1318636363636
2026-02-04 20:41:57.327836,0.7,479.9616818181818
2026-02-04 20:42:08.333019,0.4,637.9965454545454
2026-02-04 20:42:19.337937,0.2,544.7243636363636
2026-02-04 20:42:30.342767,0.4,531.7689090909091
2026-02-04 20:42:41.348377,1.5,479.5600909090909
2026-02-04 20:42:52.354061,0.2,552.0318181818183
2026-02-04 20:43:03.358592,0.1,818.5598636363636
2026-02-04 20:43:14.364172,0.5,570.2300909090909
2026-02-04 20:43:25.369483,0.5,588.7299090909091
2026-02-04 20:43:36.375054,0.4,539.630090909091
2026-02-04 20:43:47.379347,1.0,911.6804545454544
2026-02-04 20:43:58.383481,0.5,570.2550454545454
2026-02-04 20:44:09.388474,0.2,836.0180909090909
2026-02-04 20:44:20.394187,0.5,767.8562272727272
2026-02-04 20:44:31.399283,6.3,774.3534545454545
2026-02-04 20:44:42.403334,0.4,547.6263636363636
2026-02-04 20:44:53.408416,8.6,1052.6017272727274
2026-02-04 20:45:04.412592,4.9,657.4687272727273
2026-02-04 20:45:15.417684,3.1,551.3379545454545
2026-02-04 20:45:26.422439,4.1,1108.2141818181817
2026-02-04 20:45:37.426691,2.3,751.5902272727272
2026-02-04 20:45:48.431433,2.2,833.1116363636363
2026-02-04 20:45:59.436091,1.0,637.7108181818182
2026-02-04 20:46:10.441197,1.0,844.7524545454544
2026-02-04 20:46:21.445537,3.9,941.9488181818182
