OS,Samples,Duration (min),Avg CPU (%),Model Accuracy (%),Total Energy,Freq Transitions
Windows,18000,60.0,11.648811111111108,97.05391884380211,2526320296.907215,248
Ubuntu,8501,1558.5166666666667,9.570297612045641,49.529042386185246,27148876800.0,1216
